"filename", "language", "Properties", "JavaScript", "PHP", "YAML", "Markdown", "JSON", "HTML (Twig)", "SCSS", "CSS", "HTML", "XML", "comment", "blank", "total"
"d:\Expace_Development\Mes_projets\expace-dev\migrations\Version20230307101503.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 32
"d:\Expace_Development\Mes_projets\expace-dev\migrations\Version20230309060624.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 32
"d:\Expace_Development\Mes_projets\expace-dev\migrations\Version20230309085627.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 36
"d:\Expace_Development\Mes_projets\expace-dev\migrations\Version20230311072657.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 34
"d:\Expace_Development\Mes_projets\expace-dev\package-lock.json", "JSON", 0, 0, 0, 0, 0, 8071, 0, 0, 0, 0, 0, 0, 1, 8072
"d:\Expace_Development\Mes_projets\expace-dev\package.json", "JSON", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 1, 34
"d:\Expace_Development\Mes_projets\expace-dev\public\css\style-error.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 13, 91
"d:\Expace_Development\Mes_projets\expace-dev\public\index.php", "PHP", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"d:\Expace_Development\Mes_projets\expace-dev\public\js\glightbox.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Expace_Development\Mes_projets\expace-dev\public\js\isotope.pkgd.min.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 12
"d:\Expace_Development\Mes_projets\expace-dev\public\js\main.js", "JavaScript", 0, 213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 33, 306
"d:\Expace_Development\Mes_projets\expace-dev\public\js\noframework.waypoints.js", "JavaScript", 0, 583, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 104, 758
"d:\Expace_Development\Mes_projets\expace-dev\public\js\purecounter.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 8
"d:\Expace_Development\Mes_projets\expace-dev\public\js\swiper-bundle.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 1, 14
"d:\Expace_Development\Mes_projets\expace-dev\src\Components\ActivitesAdminFormComponent.php", "PHP", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31
"d:\Expace_Development\Mes_projets\expace-dev\src\Components\BlogArticlesFormAdminComponent.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 30
"d:\Expace_Development\Mes_projets\expace-dev\src\Components\BlogArticlesListAdminComponent.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 38
"d:\Expace_Development\Mes_projets\expace-dev\src\Components\BlogCategoriesComponent.php", "PHP", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 27
"d:\Expace_Development\Mes_projets\expace-dev\src\Components\BlogCategoriesFormAdminComponent.php", "PHP", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 33
"d:\Expace_Development\Mes_projets\expace-dev\src\Components\BlogCategoriesListAdminComponent.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 33
"d:\Expace_Development\Mes_projets\expace-dev\src\Components\BlogCommentComponent.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 26
"d:\Expace_Development\Mes_projets\expace-dev\src\Components\BlogCommentFormComponent.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"d:\Expace_Development\Mes_projets\expace-dev\src\Components\BlogCommentairesFormAdminComponent.php", "PHP", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 33
"d:\Expace_Development\Mes_projets\expace-dev\src\Components\BlogCommentairesListAdminComponent.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 34
"d:\Expace_Development\Mes_projets\expace-dev\src\Components\BlogMenuComponent.php", "PHP", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11
"d:\Expace_Development\Mes_projets\expace-dev\src\Components\BlogPostAllComponent.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 31
"d:\Expace_Development\Mes_projets\expace-dev\src\Components\BlogPostComponent.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 24
"d:\Expace_Development\Mes_projets\expace-dev\src\Components\BlogPostRecentComponent.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 26
"d:\Expace_Development\Mes_projets\expace-dev\src\Components\BlogSearchFormComponent.php", "PHP", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 30
"d:\Expace_Development\Mes_projets\expace-dev\src\Components\BreadcrumbsComponent.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 18
"d:\Expace_Development\Mes_projets\expace-dev\src\Components\ClientsListAdminComponent.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14, 38
"d:\Expace_Development\Mes_projets\expace-dev\src\Components\ContactFormComponent.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 30
"d:\Expace_Development\Mes_projets\expace-dev\src\Components\DevisFormAdminComponent.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"d:\Expace_Development\Mes_projets\expace-dev\src\Components\DevisListAdminComponent.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14, 40
"d:\Expace_Development\Mes_projets\expace-dev\src\Components\DevisListClientComponent.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 35
"d:\Expace_Development\Mes_projets\expace-dev\src\Components\FacturesFormAdminComponent.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
"d:\Expace_Development\Mes_projets\expace-dev\src\Components\FacturesListAdminComponent.php", "PHP", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14, 41
"d:\Expace_Development\Mes_projets\expace-dev\src\Components\FacturesListClientComponent.php", "PHP", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 36
"d:\Expace_Development\Mes_projets\expace-dev\src\Components\MessagesCountComponent.php", "PHP", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 33
